Run,Date,Start time,Efield,Run LED
25171,30/04/2024,??:??,0.0,25169
25474,03/05/2024,??:??,0.0,25470
26078,07/05/2024,??:??,0.0,26075
26084,08/05/2024,10:45,0.0,26081
26116,09/05/2024,21:05,0.0,26114
26141,10/05/2024,13:27,0.0,26139
26145,10/05/2024,14:40,20.0,26139
26147,10/05/2024,14:51,40.0,26139
26149,10/05/2024,15:05,60.0,26139
26152,10/05/2024,15:16,80.0,26139
26154,10/05/2024,15:30,100.0,26139
26161,10/05/2024,16:21,120.0,26156
26163,10/05/2024,16:36,140.0,26156
26165,10/05/2024,16:49,160.0,26156
26167,10/05/2024,17:02,180.0,26156
26254,15/05/2024,18:50,180.0,26253
26265,16/05/2024,10:45,180.0,26261
26320,21/05/2024,14:22,180.0,26315
26365,22/05/2024,15:46,180.0,26360
26381,23/05/2024,13:24,180.0,26376
26440,27/05/2024,14:23,180.0,26435
26491,28/05/2024,19:06,180.0,26487
27947,10/07/2024,11:39,180.0,26487
28209,29/07/202,??:??,180.0,26487
28210,29/07/202,??:??,180.0,26487
28211,29/07/202,??:??,160.0,26487
28212,29/07/202,??:??,140.0,26487
28213,29/07/202,??:??,120.0,26487
28214,29/07/202,??:??,100.0,26487
28215,29/07/202,??:??,80.0,26487
28216,29/07/202,??:??,60.0,26487
28217,29/07/202,??:??,40.0,26487
28218,29/07/202,??:??,20.0,26487
28219,29/07/202,??:??,20.0,26487
